Epoch,Loss_D,Loss_G,Score_D,Score_G,Train_PSNR,Train_SSIM,PSNR,SSIM
1,0.665885933637619,0.04875437378883362,0.5474175691604615,0.15053534783422948,13.77558605015412,0.41783048033714293,14.445665996933325,0.3919670984894037
2,0.22161485016345978,0.02729337438941002,0.7934921598434448,0.014848417489556596,16.176167107699147,0.49499632358551027,16.31879433354771,0.46529233440756795
3,0.6069032204151154,0.022719506695866584,0.4595122742280364,0.010867911698587704,17.116221814658847,0.5181120371818543,16.6620968173989,0.44531047984957695
4,0.9810162353515625,0.019922997727990152,0.12706458879634738,0.12184095732227433,17.763160417880982,0.5320137524604798,15.913639845571954,0.48850044757127764
5,0.9961317706108094,0.016913165748119355,0.34145295262336733,0.349983469247818,18.47750739803997,0.5488100171089172,18.86950184569492,0.5083524411916733
6,0.9891157054901123,0.015783821195364,0.47856281280517576,0.4681487274169922,18.73840398293687,0.5583968949317932,19.118831460117466,0.5259498184919358
7,0.9885728454589844,0.014486211612820625,0.5210590028762817,0.49527096629142764,19.223164012950402,0.5641982269287109,19.425162778398622,0.5348279424011707
8,0.9834153866767883,0.016906694807112217,0.24874162539839745,0.2151540868729353,18.568389561261515,0.5554790163040161,18.845231475351763,0.52564830198884
9,0.9253312063217163,0.014737524390220642,0.17604653000831605,0.09783653557300567,19.220277696883944,0.5654972314834594,19.303443667423743,0.5342149791121483
10,0.9484473514556885,0.014528319910168648,0.10625544145703315,0.04630054411027231,19.347377634505506,0.5596436810493469,18.489525494400482,0.5382238599658012
11,0.8586850953102112,0.01544192098081112,0.3080217456817627,0.15568177059292793,19.069569490403087,0.5764010500907898,18.187781657238197,0.5222756652534009
12,0.8769414258003235,0.014123521819710732,0.4509627509117127,0.27637814074754713,19.457164366674846,0.5802654600143433,19.205615576633377,0.543799959719181
13,0.8261194491386413,0.013716903477907182,0.5884850704669953,0.4345217525959015,19.49580528627679,0.5822058892250062,20.16189162496349,0.5521783079206943
14,0.9165861272811889,0.012008671313524247,0.8029371213912964,0.703828420639038,20.114204713902403,0.5932879018783569,20.771422024504073,0.5548659962415695
15,0.9926780414581299,0.011575097367167473,0.7865298175811768,0.7632595658302307,20.228194394776025,0.5953022503852844,19.88047125695081,0.5475933435559273
16,0.9986462736129761,0.011727440245449543,0.7271612286567688,0.7267392849922181,20.238118416024324,0.606680178642273,20.724312636942358,0.5703758585453034
17,1.0349245643615723,0.011099824830889702,0.700971245765686,0.7348587894439698,20.469980538344654,0.6125848364830017,20.362019142346746,0.5753244292736054
18,1.0173564672470092,0.01108004830777645,0.7373220634460449,0.7531290483474732,20.49259433249936,0.6062078142166137,19.298981692173548,0.5677367907762527
19,1.0323887252807618,0.010901439599692822,0.7167340397834778,0.7489732599258423,20.592282067283247,0.6132078695297242,19.89558806831842,0.5670114204287529
20,1.0243817853927613,0.010649499110877514,0.760598087310791,0.7801900959014892,20.620141283060388,0.6200474953651428,20.510849826603685,0.5784890654683114
21,1.0016563749313354,0.010436133183538913,0.8126398229598999,0.8127659130096435,20.728499281993294,0.6184430336952209,21.10721558623134,0.5818016642332077
22,1.025310525894165,0.010576148070394992,0.7505892086029052,0.7741893863677979,20.696140665153454,0.6196593809127807,20.532638665488292,0.575585832297802
23,1.0133684873580933,0.009822087958455086,0.7422940611839295,0.7466278958320618,21.09803432684545,0.6340289068222046,20.35394251247326,0.5864918327331543
24,1.0168009805679321,0.010163288302719594,0.640264253616333,0.6508369421958924,20.985255349594805,0.6276092886924743,21.32858884812019,0.5882718017697335
25,1.0163291692733765,0.009486109800636768,0.6364048838615417,0.6535480642318725,21.365540148027375,0.6340810942649842,20.924741677701547,0.5958934190869332
26,1.0205324506759643,0.010467355214059353,0.6162509751319886,0.6283932423591614,20.830123900480963,0.6282408118247986,20.217652599308146,0.5811981049180031
27,1.014061813354492,0.01023407131433487,0.6246096754074096,0.6342643928527832,20.922369290900843,0.6314460253715515,21.2346063281314,0.5933980125188828
28,1.0020743274688722,0.00990742515772581,0.655527048110962,0.6540644836425781,21.114886391771005,0.6371652364730835,21.071498064904564,0.596027047932148
29,0.99946613073349,0.010486801229417324,0.6430467963218689,0.6436017084121705,20.840947992683276,0.6261959934234619,21.46028906253455,0.5966592502593994
30,1.008807463645935,0.010139749385416508,0.6485880374908447,0.6584111070632934,20.98166520875485,0.6318907046318054,20.043151406017778,0.5826349467039108
31,1.0034960651397704,0.009806524850428105,0.6711194515228271,0.6754371666908264,21.166211424741785,0.6360583710670471,19.751473236139166,0.5946439185738563
32,1.008594183921814,0.009948984496295452,0.6680620813369751,0.6766880273818969,21.048807606650726,0.6350280737876892,20.688357369922233,0.5927215972542763
33,1.0109957551956177,0.009838878475129605,0.6757940006256103,0.6846914100646972,21.161728865723052,0.6362062096595764,21.40735500670899,0.5957297849655151
34,0.9960815000534058,0.008977745026350022,0.6799097084999084,0.6728091692924499,21.5923952886787,0.6369759440422058,21.828593525667245,0.6036434698104859
35,0.9992787551879883,0.009117706790566444,0.6903957676887512,0.6932163453102111,21.478882614992145,0.6467878437042236,21.713742645086135,0.6023843619227409
36,1.0062481713294984,0.009282520785927773,0.7200660157203674,0.7236252522468567,21.341994414619336,0.6428846907615662,21.415935298054173,0.5991460859775544
37,1.0023211431503296,0.009513274654746056,0.7073874235153198,0.7109363341331482,21.258416468093298,0.640293824672699,21.639914990727505,0.6012691289186478
38,0.9930067253112793,0.010406511463224888,0.7380043697357178,0.7296807169914246,20.82952354771178,0.6364170098304749,20.751588413178123,0.5943223530054093
39,1.0027744054794312,0.010385931134223939,0.7576372241973877,0.7635773873329162,20.803334507165292,0.6227857732772827,20.347759101904227,0.5978863206505776
40,1.0103571319580078,0.010206404626369476,0.8057334256172181,0.8203969621658325,20.858322510776087,0.6280490255355835,19.57606176502116,0.5910880240797997
41,1.001443214416504,0.010539558306336403,0.8837838077545166,0.8817996788024902,20.657987376634086,0.6373116874694824,21.278751487813086,0.6009183716773987
42,0.9830272340774536,0.009337052255868911,0.8179861736297608,0.7994028615951538,21.310760020055486,0.6425739574432373,21.439673001859113,0.6018712204694748
43,1.0049446249008178,0.009137268029153347,0.7665870714187623,0.7750524473190308,21.325710384457803,0.6393054986000061,21.614565182268827,0.6012674999237061
44,1.0053197145462036,0.009243062324821949,0.767007417678833,0.773802969455719,21.35954659196865,0.6534769821166992,21.487952131287372,0.6084295704960823
45,1.0025051546096801,0.009092327319085597,0.7788589620590209,0.7781732606887818,21.484791162550742,0.6511456108093262,21.314971036547888,0.6055481162667274
46,1.003876395225525,0.009039271883666515,0.771445050239563,0.7757197165489197,21.49812680747617,0.6433225655555725,21.10007548197807,0.6086558380723
47,1.001129584312439,0.009414909929037095,0.7627730512619019,0.7625534725189209,21.36118037985221,0.6524832248687744,21.356168422890715,0.6067964228987693
48,1.0051501393318176,0.008829501643776893,0.8095541262626648,0.8190924859046936,21.600334981029132,0.6466561317443847,21.406475000864642,0.604530314207077
49,1.004572262763977,0.00897176243364811,0.8667616248130798,0.8776348161697388,21.43995766524392,0.6420975947380065,21.54819395365277,0.6085464906692505
50,1.0016780710220337,0.009146559648215771,0.9425164318084717,0.9514009094238282,21.303056134257577,0.6443886423110962,21.10361976084298,0.6062205213308335
